sourceTaxonName	sourceTaxonNameCommon	interactionTypeId	interactionTypeName	targetTaxonName	referenceCitation	referenceUrl
Sarasinula spp. 	No common name, leatherleaf slugs	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Semperula spp. 	No common name, leatherleaf slugs	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Veronicella spp. 	No common name, leatherleaf slugs	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Mollusk	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Adoxophyes orana	Summer fruit tortrix moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Aeolesthes sarta	City longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Agrilus biguttatus	Oak splendor beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Archips xylosteanus	Variegated golden tortrix	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria dispar asiatica	Asian gypsy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Lymantria mathura	Rosy moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Massicus raddei	Mountain oak longhorned beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Phytophthora quercina	Oak decline	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Platypus quercivorus	Oak ambrosia beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Raffaelea quercivora	Japanese oak wilt	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Scolytus intricatus	European oak bark beetle	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Spodoptera littoralis	Egyptian cottonworm	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Thaumatotibia leucotreta	False codling moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Thaumetopoea processionea	Oak processionary moth	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
Tortrix viridana	Green oak tortrix	http://purl.obolibrary.org/obo/RO_0002556	pathogenOf	Oak	Priority Pest List 2016 as approved by the National Cooperative Agricultural Pest Survey (CAPS) of the United States	http://caps.ceris.purdue.edu/pest-lists
